,count
p'tit,251
biff,246
wesh,164
igo,138
yah,131
p'tits,130
wow,126
poto,126
gucci,125
meufs,123
p't-être,121
vant,110
tieks,98
keufs,87
seum,85
mif,85
mula,80
binks,79
p'tite,77
ounga,75
biz,73
og,73
hola,71
y-yeah,70
est-c'que,67
daronne,67
deux-trois,65
hella,63
reufs,62
bendo,61
kiffe,61
habibi,60
mmh,59
ekip,59
khey,59
reuf,58
b'soin,57
bicrave,55
mc,54
ola,54
potos,53
bené,52
grr,52
chang,50
gamos,49
sku,49
bigo,48
oskur,48
maint'nant,48
renoi,47
vec,47
cœurs,46
le-gueu,46
tits-pe,45
te-tê,44
wewer,44
té-ma,44
bédo,43
waho,43
flashs,43
merco,43
ouai,43
tchoin,42
teh,42
fonce-dé,41
belek,40
audemars,40
olcho,40
milli,39
wari,39
rolex,39
taga,39
pah,38
kichta,38
nwaar,37
sacem,37
beaudottes,37
polak,37
kho,36
v'nu,36
ouwawa,36
red-red,36
haja,36
f'ra,36
v'là,36
kalash,36
wallah,35
salam,35
déter,35
gue-dro,34
au-d'ssus,34
fendi,34
mala,33
izi,33
miff,32
charo,32
homie,32
ay,32
ohlala,32
woh,31
ahhh,31
dé-dé-dé-dé-défoncé,30
gova,30
p'tites,30
le-geu,30
paro,29
diez,29
opj,29
stud,29
tah,29
paw,29
grikitibang,29
puta,28
survêt,28
dis-leur,28
kush,28
concu,28
lo,28
yéyéyé,27
dems,27
puto,27
qlf,27
ients-cli,27
shawty,27
el,27
tain-p,27
tchop,27
stup,26
loc,26
uzi,26
encule,26
spliff,26
waï,26
mowgli,26
jodeci,25
orelsan,25
gazo,25
r'garder,25
disiz,25
yun,25
messi,25
buzze,24
as-p,24
khalass,24
watcha,24
olala,24
yeuz,24
snapchat,24
ayaya,24
tiekar,24
f'rai,24
oh-oh,23
manny,23
oim,23
rappes,23
bif,23
biatch,23
nanana,23
ap,22
eh-eh,22
oi-m,22
vald,22
rrain-té,22
ak,22
pnl,22
ves-qui,22
tit-pe,22
phaal,21
comico,21
tchilili,21
oooh,21
xtrm,21
ient-cli,21
gabbana,21
bitchs,21
noche,21
starsky,21
est-c'qu'ils,21
damso,21
hamdou,20
deuss-deuss,20
schnek,20
tte-cha,20
te-shi,20
overdab,20
galéré,20
sabena,20
pédés,20
sheitan,20
iaps,20
pensionman,20
khabat,20
tchin,20
téma,20
tiekson,20
khoya,20
déf,19
inspi,19
té-cô,19
tchoins,19
mythos,19
versace,19
yemma,19
amg,19
smokin,19
seille-o,18
laylow,18
eya,18
cheh,18
kicke,18
temps-ci,18
suik'on,18
calle,18
a-a-abonné,18
x-men,18
droga,18
ront,18
lalaland,18
laisse-toi,18
jul,17
khos,17
booba,17
p't'être,17
choré,17
bm,17
baraude,17
allo,17
ue-r,17
darons,17
niaks,17
taffé,16
nicki,16
kietu,16
diff,16
khaliss,16
be-her,16
bushi,16
envole,16
din-din-din-din-din-din-din-dingue,16
pouloulou,16
golri,16
raclis,16
cess,16
breh,16
kiffes,16
vvs,16
oint-j,16
gangx,16
bellek,16
rre-ve,15
saucegod,15
dev'nu,15
pét,15
ve-esqui,15
est-c'qu'on,15
kiffé,15
dinero,15
bédave,15
broliqué,15
brr,15
squa,15
blèmes,15
gov,15
ouuuh,15
insta,15
roro,15
kiffais,15
mathafack,14
ppe-fra,14
sace,14
dem's,14
brolique,14
leu-leu,14
anniv,14
capuché,14
tass,14
ohhhhh,14
ocb,14
dev'nir,14
menotté,14
pétou,14
mamacita,14
bre-som,14
laaa,14
v'-esqui,14
féfé,14
crari,14
schneck,14
walou,14
mcs,14
hein-hein,14
kiffaient,14
zeb,14
youv,14
boca,14
tokarev,14
à-l,14
plavons,14
michto,14
pe-ra,14
popo,14
koba,13
capri-sun,13
еst,13
bonhommes,13
tchi,13
goyard,13
tchaing,13
kiff,13
ohoh,13
ssus,13
bx,13
v'nir,13
balmain,13
onizuka,13
