,count,is_french
yeah,1303,False
hey,911,False
fuck,419,False
yah,267,False
binks,266,False
biff,260,False
bitch,236,False
wesh,227,False
p'tit,205,False
poto,195,False
keufs,183,False
the,165,False
up,157,False
flow,156,False
game,154,False
p'tits,137,False
bendo,116,False
wow,116,False
money,107,False
ola,102,False
igo,102,False
wouh,101,False
tieks,98,False
gucci,92,False
tah,90,False
kalash,89,False
gue-dro,87,False
vant,86,False
og,85,False
brr,85,False
potos,85,False
you,85,False
sku,84,False
tosma,82,False
woh,80,False
my,77,False
daronne,77,False
bendero,76,False
gun,76,False
woah,76,False
mula,75,False
trap,67,False
hood,67,False
seum,66,False
rah,65,False
fonce-dé,64,False
bicrave,64,False
meufs,63,False
bédo,62,False
mc,62,False
v'-esqui,62,False
milli,62,False
everyday,61,False
kichta,60,False
p't-être,60,False
gamos,60,False
bitches,60,False
fight,60,False
bre-som,60,False
mic,59,False
night,58,False
paw,58,False
noche,58,False
block,57,False
p'tite,57,False
el,57,False
handek,57,False
pah,56,False
kiffe,56,False
mif,56,False
izi,55,False
niquage,54,False
kho,54,False
crick,52,False
spliff,52,False
taga,52,False
wey,52,False
reuf,51,False
mmh,51,False
team,51,False
deux-trois,50,False
chang,50,False
nigga,48,False
biz,48,False
wallah,47,False
b'soin,46,False
poh,44,False
showcase,44,False
khaliss,44,False
uzi,44,False
poucaves,44,False
ients-cli,44,False
piou,44,False
rrain-té,44,False
renoi,43,False
té-ci,43,False
f'rais,42,False
feat,42,False
baraude,42,False
t-max,42,False
lim,42,False
versace,42,False
plata,41,False
woof,41,False
hella,41,False
encule,41,False
muerte,41,False
paro,40,False
smoke,40,False
merco,40,False
sky,39,False
gangsta,39,False
reufs,39,False
mythos,38,False
turn,38,False
khapta,38,False
ways,37,False
inspi,37,False
it,37,False
pe-ra,35,False
ouuuh,35,False
hamdoulah,35,False
khoya,35,False
bif,35,False
ounga,34,False
mala,34,False
fefe,34,False
instru,34,False
tier-quar,34,False
belek,34,False
all,33,False
odc,33,False
roro,33,False
yaw,32,False
parthuuh,32,False
pussy,32,False
mister,32,False
track,32,False
khey,32,False
cops,32,False
gov,32,False
tass,32,False
of,32,False
gazo,31,False
check,31,False
rolex,31,False
bizz,31,False
lo,31,False
beat,31,False
bellek,31,False
fendi,31,False
mojo,30,False
comico,30,False
capuché,30,False
bigo,30,False
inch'allah,30,False
peace,30,False
ouai,30,False
grinder,29,False
jul,29,False
teh,29,False
stud,29,False
déter,29,False
kush,29,False
killer,29,False
bon-char,28,False
p'tites,28,False
pscht,28,False
dis-leur,28,False
djomb,28,False
dems,28,False
ándale,27,False
barksdale,27,False
sacem,27,False
snow,27,False
biatch,27,False
and,27,False
poropop,27,False
charo,27,False
tits-pe,27,False
poucave,27,False
est-c'que,27,False
ak,26,False
sheitan,26,False
dead,26,False
salam,26,False
rrain-te,26,False
ouh-ouh-ouh,26,False
sheguey,26,False
té-ma,26,False
pétou,26,False
fuego,26,False
stup,26,False
kill,25,False
ap,25,False
yakalelo,25,False
v'là,25,False
braquo,25,False
ppe-fra,25,False
pédés,25,False
mathafack,25,False
maes,25,False
grr,25,False
buzze,24,False
tel-hô,24,False
pa-pa-pa,24,False
niggas,24,False
hebs,24,False
crew,24,False
hass,24,False
fly,24,False
wess,24,False
oh-oh,24,False
arriba,23,False
tit-pe,23,False
cess,23,False
eyes,23,False
dz,23,False
lossa,23,False
tou,23,False
aventador,22,False
lilo,22,False
kiffé,22,False
menders,22,False
bugatti,22,False
zdeh,22,False
miff,22,False
hennessy,22,False
halla,22,False
te-tê,22,False
hasta,22,False
uh,22,False
party,22,False
ganja,22,False
bando,22,False
olala,22,False
audemars,22,False
khabat,22,False
vi-ser,22,False
amor,21,False
peuf,21,False
blaze,21,False
so,21,False
te-shi,21,False
p't'être,21,False
bx,21,False
sère-mi,21,False
v'nu,21,False
tchoin,21,False
traine,21,False
brolique,21,False
plavon,21,False
koba,21,False
fouiny,21,False
hayce,21,False
ekip,20,False
opj,20,False
ter-ter,20,False
bédave,20,False
manny,20,False
féfé,20,False
khalass,20,False
stone,20,False
diff,20,False
midi-minuit,20,False
bam,20,False
pankani,20,False
da-da,20,False
cocaïna,20,False
zik,20,False
don't,20,False
sé,20,False
gauche-droite,20,False
loc,20,False
skch,20,False
rolls,19,False
rs,19,False
insta,19,False
pét,19,False
plomo,19,False
ient-cli,19,False
tchin,19,False
hits,19,False
hagar,19,False
dybala,19,False
pow,19,False
puta,19,False
lala,19,False
seille-o,19,False
dicidens,19,False
bs,19,False
sosa,19,False
kiff,19,False
maint'nant,19,False
never,19,False
moulaga,18,False
wire,18,False
a-a-a-a-a-a,18,False
lambo,18,False
oi-m,18,False
pway,18,False
schneck,18,False
lv,18,False
papel,18,False
millé,18,False
daronnes,18,False
béné,18,False
raclis,18,False
menotté,18,False
bambi,18,False
sefyuuu,18,False
popo,18,False
know,18,False
oim,18,False
cœurs,18,False
concu,18,False
ja,18,False
cojones,18,False
down,18,False
ze-ze-ze-ze-ze-ze,18,False
tard-pé,18,False
yuh,18,False
cellophanée,17,False
ahou,17,False
bm,17,False
oulalalala,17,False
woaw,17,False
god,17,False
gé-chan,17,False
damso,17,False
khos,17,False
ka,17,False
f'ra,17,False
shtar,17,False
just,17,False
rafaler,17,False
whine,17,False
ju-ju-jul,17,False
loca,17,False
x-men,17,False
zangief,17,False
balmain,17,False
bin-binks,17,False
galéré,17,False
cagoulés,17,False
ice,17,False
year,17,False
belve,17,False
flex,17,False
hoe,17,False
pso,17,False
mother,16,False
rohff,16,False
chicos,16,False
that,16,False
vita,16,False
be-her,16,False
kietu,16,False
pécho,16,False
over,16,False
heuss,16,False
bloods,16,False
tn,16,False
shke,16,False
bé-tom,16,False
amné,16,False
i'm,16,False
merdé,16,False
calle,16,False
blèmes,16,False
laisse-les,16,False
number,16,False
snap,16,False
bangers,16,False
ha-hamdoulah,16,False
please,16,False
ber-tom,16,False
rait,16,False
survêt,15,False
duris,15,False
bakel,15,False
vito,15,False
talbins,15,False
squad,15,False
lunatic,15,False
bilel,15,False
a-s-b,15,False
mes-ar,15,False
broliqué,15,False
swag,15,False
crips,15,False
tchop,15,False
is,15,False
uer-t,15,False
ous-s,15,False
di,15,False
get,15,False
babygirl,15,False
blèmes-pro,15,False
shoes,15,False
shmits,15,False
transac,15,False
many,15,False
zang,15,False
fans,15,False
mwaka,15,False
vista,15,False
pasta,14,False
dinero,14,False
laud-sa,14,False
walou,14,False
sonne-per,14,False
locks,14,False
darons,14,False
baw,14,False
bumpa,14,False
opé,14,False
est-c'qu'elle,14,False
why,14,False
askip,14,False
ne-jau,14,False
rari,14,False
rodave,14,False
g's,14,False
est-c'qu'il,14,False
aujourd,14,False
noxious,14,False
le-sa,14,False
re-frè,14,False
booba,14,False
ste-po,14,False
follow,14,False
fais-le,14,False
ler-dea,14,False
purple,14,False
zipette,14,False
vatos,14,False
lacrim,14,False
as-p,14,False
tits,14,False
mowgli,14,False
doobie,14,False
streams,14,False
babe,14,False
couz,14,False
yougataga,13,False
war,13,False
goyard,13,False
despi,13,False
batata,13,False
twerkes,13,False
ppe-f,13,False
tierquar,13,False
shkegang,13,False
amg,13,False
madrina,13,False
bonhommes,13,False
schmits,13,False
hamdoullah,13,False
awa,13,False
thc,13,False
gova,13,False
sse-lia,13,False
est-c,13,False
thug,13,False
royce,13,False
gadjis,13,False
cavu,13,False
houssen,13,False
dd,13,False
niquez,13,False
boulbi,13,False
gla,13,False
kiffent,13,False
kala,13,False
tte-cha,13,False
come,13,False
woo,13,False
niaks,13,False
koro,12,False
diez,12,False
umh,12,False
kaaris,12,False
patins,12,False
kalashé,12,False
garde-à-v,12,False
schnek,12,False
khenez,12,False
grikitibang,12,False
té-cô,12,False
released,12,False
benzo,12,False
teuch,12,False
nananana,12,False
tôt-tôt-tôt-tôt,12,False
mood,12,False
zin,12,False
à-l,12,False
por,12,False
napoli,12,False
v'la,12,False
nien,12,False
hmmm,12,False
bruxelles-bruxelles,12,False
indé,12,False
wesson,12,False
gangnam,12,False
enculés,12,False
song,12,False
de-mer,12,False
zé,12,False
day,12,False
tôt-tôt-tôt,12,False
a-fais,12,False
fucked,12,False
kalli,12,False
ta-ta-ta,12,False
ohoh,12,False
envole,12,False
ouais-ouais,12,False
baltringues,12,False
fréro,12,False
proc,12,False
zifu,12,False
che,12,False
hiya,12,False
son-pri,12,False
bitchs,12,False
okay,12,False
sbah,11,False
rain-té,11,False
vi-sser,11,False
charbonneur,11,False
hagra,11,False
saucegod,11,False
saal,11,False
ne-zo,11,False
wo,11,False
re-pu,11,False
grinta,11,False
bres-som,11,False
locos,11,False
finger,11,False
asics,11,False
pd,11,False
re-fré,11,False
rotter,11,False
mesrine,11,False
right,11,False
tchi,11,False
deuspi,11,False
tasses-pé,11,False
onizuka,11,False
shoo,11,False
r'garde,11,False
sefyu,11,False
veau-cer,11,False
states,11,False
hustler,11,False
stenda,11,False
miskine,11,False
rotte-ca,11,False
nou,11,False
gyro,11,False
popopopop,11,False
ce-vi,11,False
beleck,11,False
gestu,11,False
braco,11,False
it's,11,False
eden,11,False
pote-ca,11,False
pit,11,False
pe-pom,11,False
boca,11,False
pénave,11,False
fimbis,11,False
cb,11,False
rimkus,11,False
meuda,11,False
gé-char,10,False
biggie,10,False
pnl,10,False
res-frè,10,False
bou-bou-bou-bou,10,False
zèbe,10,False
skunk,10,False
pélo,10,False
shab,10,False
seven,10,False
palpal,10,False
temps-ci,10,False
goose,10,False
v'nir,10,False
cheum,10,False
lalala,10,False
drive-by,10,False
wari,10,False
teuchi,10,False
who's,10,False
ce-pla,10,False
vesqui,10,False
feats,10,False
blunt,10,False
zoogataga,10,False
tej,10,False
lov,10,False
condi,10,False
middle,10,False
venom,10,False
shtars,10,False
tt,10,False
freestyles,10,False
soldiers,10,False
chaudasses,10,False
zeb,10,False
llets-bi,10,False
rebeus,10,False
ger-char,10,False
denzo,10,False
parc'que,10,False
pgp,10,False
brulux,10,False
babyboy,10,False
ves-qui,10,False
kiffes,10,False
card-pla,10,False
lorsqu'on,10,False
perquis,10,False
every,10,False
reufrés,10,False
sah,10,False
dealé,10,False
cro-mi,10,False
bacqueux,10,False
hoes,10,False
poucav,10,False
reufré,10,False
beats,10,False
re-star,10,False
ue-r,10,False
heat,10,False
welcome,10,False
leurs-dea,10,False
narcos,10,False
lifestyle,10,False
ecoute,10,False
dem's,10,False
aah,10,False
dew,10,False
hassoul-oulou,9,False
zongo,9,False
kich,9,False
hadouken,9,False
cabeza,9,False
apollo,9,False
zidane,9,False
gp,9,False
pequeño,9,False
cz,9,False
ben-j,9,False
wah,9,False
raclo,9,False
hmhm,9,False
per-cho,9,False
mathu,9,False
biftons,9,False
zifukoro,9,False
crari,9,False
lehess,9,False
oblah,9,False
vibe,9,False
flows,9,False
male,9,False
ul-c,9,False
fresh,9,False
tiekson,9,False
polak,9,False
ferme-la,9,False
scarface,9,False
marlo,9,False
what,9,False
abdos,9,False
patek,9,False
te-traî,9,False
mcs,9,False
jos,9,False
slide,9,False
llion-mi,9,False
rip,9,False
charos,9,False
negro,9,False
easy,9,False
akha,9,False
ué-t,9,False
oit,9,False
fons-dé,9,False
roshi,9,False
sksh,9,False
homie,9,False
ketama,9,False
--,9,False
cosa,9,False
re-fou,9,False
classic,9,False
again,9,False
re-sta,9,False
pum,9,False
tai,9,False
ti-sor,9,False
téma,9,False
chica,9,False
toxicos,9,False
saoul-oulou,9,False
masta,9,False
eyah,9,False
arai,9,False
tes-comp,9,False
réput,9,False
ouloulou,9,False
bicravent,9,False
saber,9,False
fry,9,False
rg,9,False
mis-per,9,False
murcielago,9,False
ey,9,False
nudes,9,False
oppa,9,False
trainent,9,False
moha,9,False
soir-ce,9,False
eazy,9,False
ger-man,9,False
arthéna,9,False
cocaine,9,False
faya,9,False
spliffs,9,False
garo,9,False
schmitts,8,False
sache-le,8,False
guedro,8,False
jaja,8,False
bre-cham,8,False
lil,8,False
balrog,8,False
te-pu,8,False
illet-bi,8,False
ché-bran,8,False
blah,8,False
scarlas,8,False
madrane,8,False
guns,8,False
real,8,False
louboutin,8,False
messi,8,False
sique,8,False
stavo,8,False
gardav,8,False
streets,8,False
cheh,8,False
